+0.706949	-0.706791i	+0.706721	+0.706887i	+0.706586	+0.706916i	+0.707021	+0.707034i	-0.707078	-0.707083i	-0.706988	-0.707041i	-0.707107	+0.707107i	-0.707107	+0.707107i	
-0.706949	+0.706791i	-0.706721	-0.706887i	-0.706586	-0.706916i	-0.707021	-0.707034i	+0.707078	+0.707083i	+0.706988	+0.707041i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.706459	-0.706975i	+0.706930	+0.706955i	-0.707069	-0.706879i	-0.707010	-0.707022i	+0.706252	-0.706840i	-0.706423	-0.706293i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.706459	+0.706975i	-0.706930	-0.706955i	+0.707069	+0.706879i	+0.707010	+0.707022i	-0.706252	+0.706840i	+0.706423	+0.706293i	

+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

+0.311415	-0.707078i	+0.707095	+0.707103i	+0.706707	-0.108943i	+0.707094	+0.703111i	-0.707102	-0.707101i	-0.707090	-0.707034i	-0.707107	+0.707107i	-0.707107	+0.707107i	
-0.311415	+0.707078i	-0.707095	-0.707103i	-0.706707	+0.108943i	-0.707094	-0.703111i	+0.707102	+0.707101i	+0.707090	+0.707034i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.706014	-0.707039i	+0.706988	+0.707101i	-0.707106	-0.707106i	-0.701665	-0.707099i	+0.707096	-0.706662i	-0.707078	-0.706994i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.706014	+0.707039i	-0.706988	-0.707101i	+0.707106	+0.707106i	+0.701665	+0.707099i	-0.707096	+0.706662i	+0.707078	+0.706994i	

+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

-0.653586	-0.707080i	+0.707103	+0.707102i	+0.707077	-0.706648i	+0.707105	+0.707043i	-0.707106	-0.707106i	-0.707104	-0.707103i	-0.707107	+0.707107i	-0.707107	+0.707107i	
+0.653586	+0.707080i	-0.707103	-0.707102i	-0.707077	+0.706648i	-0.707105	-0.707043i	+0.707106	+0.707106i	+0.707104	+0.707103i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707088	-0.707098i	+0.707095	+0.707104i	-0.707106	-0.707106i	-0.706768	-0.707103i	+0.707095	-0.706554i	-0.707067	-0.707016i	
+0.707107	-0.707107i	+0.707107	-0.707107i	-0.707088	+0.707098i	-0.707095	-0.707104i	+0.707106	+0.707106i	+0.706768	+0.707103i	-0.707095	+0.706554i	+0.707067	+0.707016i	

+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	+0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	-0.707107	+0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	-0.707107	+0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	
-0.707107	+0.707107i	-0.707107	+0.707107i	+0.707107	+0.707107i	+0.707107	+0.707107i	-0.707107	+0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	
+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	+0.707107i	+0.707107	-0.707107i	-0.707107	-0.707107i	+0.707107	-0.707107i	+0.707107	-0.707107i	

+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+1.000000   	+1.000000   	
+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+1.000000   	+1.000000   	
+1.000000   	+1.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	
+1.000000   	+1.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	+0.000000   	

