1 0.000000 0.619228
2 1.686357 9.786900
3 1.686357 9.786900
4 1.686357 9.786900
5 1.686357 9.786900
6 1.686357 9.786900
7 1.686357 9.786900
8 1.686357 9.786900
9 1.686357 9.786900
10 1.686357 9.786900
11 1.686357 9.786900
12 1.686357 9.786900
13 1.686357 9.786900
14 1.686357 9.786900
15 1.686357 9.786900
16 1.686357 9.786900
17 1.686357 9.786900
18 1.686357 9.786900
19 1.686357 9.786900
20 1.686357 9.786900
21 1.686357 9.786900
22 1.686357 9.786900
23 1.686357 9.786900
24 1.686357 9.786900
25 1.686357 9.786900
26 1.686357 9.786900
27 1.686357 9.786900
28 1.686357 9.786900
29 1.686357 9.786900
30 1.686357 9.786900
31 6.851283 652.467458
32 1.693088 9.811782
33 1.695866 10.021779
34 1.698999 9.829011
35 1.698963 9.928948
36 1.700087 9.897353
37 1.700374 9.975549
38 1.700279 9.959433
39 1.700890 9.972565
40 1.700918 9.973439
41 1.701566 9.984350
42 1.701467 9.989971
43 1.700559 9.979670
44 1.701198 9.961349
45 1.699830 9.977766
46 1.701372 10.008403
47 1.701314 10.010666
48 1.700828 10.020713
49 1.701157 9.983826
50 1.700630 10.036617
51 1.700158 9.989026
52 1.700260 9.989168
53 1.700916 9.996464
54 1.701403 10.034010
55 1.700975 9.961672
56 1.701089 10.030757
57 1.700101 10.004966
58 1.701361 10.000424
59 1.701072 10.027727
60 1.700381 9.984139
61 1.699983 10.042874
62 1.707671 10.529474
63 1.789405 15.326753
64 2.846450 76.265203
65 17.254324 901.238790
66 216.556419 12286.974772
67 2989.146840 170589.190912
68 41663.351085 2378617.717410
69 581849.857487 33221982.799187
70 8132196.112711 464364493.724203
71 113703238.745990 6493084201.829285
72 1590098613.992604 90807148909.666397
73 22239238923.461048 1270067706676.832764
74 311056308558.357666 17764479696459.421875
75 4350811401898.844727 248477762689234.781250
76 60856628471575.789062 3475580301898981.000000
77 851233858174135.625000 48614917730551816.000000
78 11906707292952140.000000 680006448243295744.000000
79 166546463534957120.000000 9511678278391576576.000000
80 2329590894115341824.000000 133045934948208246784.000000
81 32585483993739141120.000000 1860999442848694403072.000000
82 455794244871371816960.000000 26031007003360337330176.000000
83 6375490112107473534976.000000 364112630195638650273792.000000
84 89178129293497207881728.000000 5093080547082426185154560.000000
85 1247392595516634504888320.000000 71240237588515134946410496.000000
86 17448093421608607288393728.000000 996483658746479482274578432.000000
87 244057860983550489988694016.000000 13938466866276032724034650112.000000
88 3413796485207242893093240832.000000 194966428023224573284698816512.000000
89 47750998255578332456531525632.000000 2727122611144002192037187158016.000000
90 667924362144884738263942692864.000000 38146042998805158744407259742208.000000
91 9342693774447436051127182819328.000000 533573588377008132943211877367808.000000
92 -nan -nan
93 -nan -nan
94 -nan -nan
95 -nan -nan
96 -nan -nan
97 -nan -nan
98 -nan -nan
99 -nan -nan
100 -nan -nan
101 -nan -nan
102 -nan -nan
103 -nan -nan
104 -nan -nan
105 -nan -nan
106 -nan -nan
107 -nan -nan
108 -nan -nan
109 -nan -nan
110 -nan -nan
111 -nan -nan
112 -nan -nan
113 -nan -nan
114 -nan -nan
115 -nan -nan
116 -nan -nan
117 -nan -nan
118 -nan -nan
119 -nan -nan
120 -nan -nan
121 -nan -nan
122 -nan -nan
123 -nan -nan
124 -nan -nan
125 -nan -nan
126 -nan -nan
127 -nan -nan
128 -nan -nan
129 -nan -nan
130 -nan -nan
131 -nan -nan
132 -nan -nan
133 -nan -nan
134 -nan -nan
135 -nan -nan
136 -nan -nan
137 -nan -nan
138 -nan -nan
139 -nan -nan
140 -nan -nan
141 -nan -nan
142 -nan -nan
143 -nan -nan
144 -nan -nan
145 -nan -nan
146 -nan -nan
147 -nan -nan
148 -nan -nan
149 -nan -nan
150 -nan -nan
151 -nan -nan
152 -nan -nan
153 -nan -nan
154 -nan -nan
155 -nan -nan
156 -nan -nan
157 -nan -nan
158 -nan -nan
159 -nan -nan
160 -nan -nan
161 -nan -nan
162 -nan -nan
163 -nan -nan
164 -nan -nan
165 -nan -nan
166 -nan -nan
167 -nan -nan
168 -nan -nan
169 -nan -nan
170 -nan -nan
171 -nan -nan
172 -nan -nan
173 -nan -nan
174 -nan -nan
175 -nan -nan
176 -nan -nan
177 -nan -nan
178 -nan -nan
179 -nan -nan
180 -nan -nan
BER = 0.003125 Computation time = 5.881397[sec]
